Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,2250000.000000,2319000.000000,2250000.000000,2310000.000000,2303742.250000,438273
2017-08-17,2348000.000000,2365000.000000,2337000.000000,2352000.000000,2345628.500000,248317
2017-08-18,2338000.000000,2362000.000000,2312000.000000,2345000.000000,2338647.500000,209559
2017-08-21,2362000.000000,2362000.000000,2329000.000000,2342000.000000,2335655.500000,102069
2017-08-22,2341000.000000,2358000.000000,2335000.000000,2350000.000000,2343634.000000,147635
2017-08-23,2389000.000000,2389000.000000,2359000.000000,2374000.000000,2367569.000000,187694
2017-08-24,2376000.000000,2383000.000000,2367000.000000,2376000.000000,2369563.500000,173149
2017-08-25,2394000.000000,2394000.000000,2336000.000000,2351000.000000,2344631.250000,224871
2017-08-28,2351000.000000,2362000.000000,2298000.000000,2305000.000000,2298755.750000,199242
2017-08-29,2282000.000000,2304000.000000,2258000.000000,2304000.000000,2297758.500000,252473
2017-08-30,2319000.000000,2320000.000000,2298000.000000,2310000.000000,2303742.250000,150260
2017-08-31,2311000.000000,2332000.000000,2300000.000000,2316000.000000,2309726.000000,220234
2017-09-01,2323000.000000,2332000.000000,2315000.000000,2324000.000000,2317704.250000,212834
2017-09-04,2289000.000000,2318000.000000,2275000.000000,2302000.000000,2295764.000000,158870
2017-09-05,2312000.000000,2345000.000000,2298000.000000,2338000.000000,2331666.500000,234322
2017-09-06,2338000.000000,2359000.000000,2335000.000000,2350000.000000,2343634.000000,216221
2017-09-07,2350000.000000,2411000.000000,2350000.000000,2406000.000000,2399482.250000,193530
2017-09-08,2435000.000000,2459000.000000,2429000.000000,2454000.000000,2447352.250000,217860
2017-09-11,2485000.000000,2509000.000000,2475000.000000,2490000.000000,2483254.750000,207495
2017-09-12,2510000.000000,2511000.000000,2457000.000000,2480000.000000,2473281.750000,240595
2017-09-13,2491000.000000,2520000.000000,2472000.000000,2481000.000000,2474279.000000,187140
2017-09-14,2503000.000000,2516000.000000,2488000.000000,2515000.000000,2508187.000000,284095
2017-09-15,2515000.000000,2528000.000000,2493000.000000,2520000.000000,2513173.500000,215146
2017-09-18,2527000.000000,2624000.000000,2526000.000000,2624000.000000,2616891.750000,230499
2017-09-19,2625000.000000,2632000.000000,2589000.000000,2606000.000000,2598940.500000,197008
2017-09-20,2606000.000000,2625000.000000,2592000.000000,2611000.000000,2603927.000000,185855
2017-09-21,2611000.000000,2648000.000000,2611000.000000,2640000.000000,2632848.250000,176796
2017-09-25,2648000.000000,2684000.000000,2623000.000000,2681000.000000,2673737.250000,464510
2017-09-26,2681000.000000,2681000.000000,2681000.000000,2681000.000000,2673737.250000,0
2017-09-27,2600000.000000,2610000.000000,2575000.000000,2584000.000000,2577000.000000,215940
2017-09-28,2613000.000000,2623000.000000,2563000.000000,2563000.000000,2563000.000000,240509
2017-09-29,2559000.000000,2581000.000000,2542000.000000,2564000.000000,2564000.000000,258188
2017-10-02,2564000.000000,2564000.000000,2564000.000000,2564000.000000,2564000.000000,0
2017-10-10,2564000.000000,2682000.000000,2564000.000000,2640000.000000,2640000.000000,410396
2017-10-11,2680000.000000,2738000.000000,2667000.000000,2732000.000000,2732000.000000,273043
2017-10-12,2742000.000000,2758000.000000,2705000.000000,2740000.000000,2740000.000000,277814
2017-10-13,2727000.000000,2742000.000000,2689000.000000,2700000.000000,2700000.000000,252033
2017-10-16,2699000.000000,2743000.000000,2688000.000000,2696000.000000,2696000.000000,195399
2017-10-17,2701000.000000,2769000.000000,2700000.000000,2740000.000000,2740000.000000,212156
2017-10-18,2741000.000000,2762000.000000,2702000.000000,2738000.000000,2738000.000000,202215
2017-10-19,2735000.000000,2735000.000000,2649000.000000,2649000.000000,2649000.000000,242174
2017-10-20,2640000.000000,2705000.000000,2640000.000000,2692000.000000,2692000.000000,160541
2017-10-23,2730000.000000,2732000.000000,2700000.000000,2715000.000000,2715000.000000,166221
2017-10-24,2735000.000000,2739000.000000,2702000.000000,2702000.000000,2702000.000000,116121
2017-10-25,2702000.000000,2721000.000000,2685000.000000,2695000.000000,2695000.000000,117657
2017-10-26,2686000.000000,2695000.000000,2620000.000000,2620000.000000,2620000.000000,195531
2017-10-27,2620000.000000,2666000.000000,2607000.000000,2654000.000000,2654000.000000,147850
2017-10-30,2689000.000000,2716000.000000,2685000.000000,2702000.000000,2702000.000000,163923
2017-10-31,2703000.000000,2772000.000000,2675000.000000,2754000.000000,2754000.000000,267631
2017-11-01,2875000.000000,2875000.000000,2809000.000000,2861000.000000,2861000.000000,290205
2017-11-02,2875000.000000,2876000.000000,2838000.000000,2853000.000000,2853000.000000,214421
2017-11-03,2853000.000000,2857000.000000,2793000.000000,2819000.000000,2819000.000000,198716
2017-11-06,2819000.000000,2825000.000000,2767000.000000,2819000.000000,2819000.000000,180019
2017-11-07,2819000.000000,2846000.000000,2793000.000000,2805000.000000,2805000.000000,149291
2017-11-08,2805000.000000,2853000.000000,2793000.000000,2838000.000000,2838000.000000,170404
2017-11-09,2846000.000000,2846000.000000,2795000.000000,2817000.000000,2817000.000000,239881
2017-11-10,2790000.000000,2827000.000000,2789000.000000,2820000.000000,2820000.000000,134976
2017-11-13,2820000.000000,2840000.000000,2805000.000000,2819000.000000,2819000.000000,176133
2017-11-14,2819000.000000,2837000.000000,2796000.000000,2796000.000000,2796000.000000,134500
2017-11-15,2796000.000000,2816000.000000,2766000.000000,2767000.000000,2767000.000000,176339
2017-11-16,2772000.000000,2800000.000000,2770000.000000,2789000.000000,2789000.000000,152814
2017-11-17,2820000.000000,2844000.000000,2791000.000000,2791000.000000,2791000.000000,214663
2017-11-20,2795000.000000,2799000.000000,2760000.000000,2760000.000000,2760000.000000,189455
2017-11-21,2770000.000000,2792000.000000,2764000.000000,2764000.000000,2764000.000000,206494
2017-11-22,2799000.000000,2810000.000000,2781000.000000,2798000.000000,2798000.000000,159059
2017-11-23,2798000.000000,2799000.000000,2751000.000000,2765000.000000,2765000.000000,125458
2017-11-24,2765000.000000,2775000.000000,2759000.000000,2773000.000000,2773000.000000,90724
2017-11-27,2768000.000000,2768000.000000,2632000.000000,2632000.000000,2632000.000000,362578
2017-11-28,2635000.000000,2664000.000000,2586000.000000,2664000.000000,2664000.000000,269988
2017-11-29,2660000.000000,2662000.000000,2625000.000000,2630000.000000,2630000.000000,191805
2017-11-30,2540000.000000,2593000.000000,2510000.000000,2540000.000000,2540000.000000,592683
2017-12-01,2540000.000000,2589000.000000,2540000.000000,2542000.000000,2542000.000000,257372
2017-12-04,2542000.000000,2567000.000000,2501000.000000,2567000.000000,2567000.000000,297301
2017-12-05,2530000.000000,2565000.000000,2514000.000000,2563000.000000,2563000.000000,186531
2017-12-06,2563000.000000,2578000.000000,2501000.000000,2501000.000000,2501000.000000,217784
2017-12-07,2502000.000000,2549000.000000,2501000.000000,2537000.000000,2537000.000000,221312
